iter	Passed	Remaining
0	146	146675
1	153	76710
2	159	52930
3	165	41245
4	171	34031
5	176	29201
6	182	25822
7	186	23146
8	191	21077
9	196	19455
10	201	18098
11	206	16983
12	211	16024
13	216	15230
14	220	14499
15	225	13875
16	230	13340
17	235	12836
18	239	12389
19	245	12029
20	250	11670
21	254	11329
22	259	11030
23	264	10763
24	269	10501
25	273	10259
26	278	10042
27	283	9824
28	287	9630
29	291	9441
30	296	9279
31	301	9110
32	305	8955
33	310	8817
34	314	8677
35	319	8546
36	323	8418
37	328	8308
38	332	8194
39	336	8087
40	341	7984
41	346	7896
42	350	7803
43	354	7712
44	360	7647
45	364	7568
46	369	7486
47	373	7408
48	378	7345
49	382	7275
50	387	7203
51	392	7152
52	397	7105
53	402	7048
54	406	6984
55	410	6926
56	416	6886
57	421	6844
58	426	6802
59	431	6766
60	436	6725
61	441	6677
62	445	6628
63	450	6588
64	454	6542
65	459	6503
66	464	6468
67	468	6425
68	473	6385
69	477	6345
70	482	6314
71	486	6275
72	491	6238
73	495	6206
74	500	6171
75	504	6138
76	509	6104
77	513	6074
78	518	6041
79	522	6009
80	526	5978
81	531	5953
82	536	5923
83	540	5894
84	545	5872
85	550	5849
86	554	5820
87	558	5792
88	563	5772
89	568	5747
90	572	5721
91	578	5709
92	585	5707
93	590	5691
94	596	5677
95	600	5654
96	604	5630
97	610	5618
98	615	5599
99	619	5578
100	624	5560
101	629	5541
102	633	5519
103	638	5502
104	644	5490
105	649	5479
106	655	5468
107	660	5458
108	665	5438
109	669	5417
110	674	5400
111	678	5383
112	683	5363
113	687	5344
114	692	5332
115	697	5313
116	701	5294
117	706	5277
118	710	5260
119	714	5242
120	719	5224
121	723	5210
122	728	5192
123	732	5175
124	737	5161
125	742	5151
126	747	5135
127	751	5120
128	756	5106
129	760	5090
130	764	5074
131	769	5060
132	774	5047
133	778	5031
134	782	5016
135	787	5002
136	791	4988
137	796	4972
138	800	4959
139	805	4945
140	809	4931
141	813	4917
142	818	4903
143	822	4891
144	827	4877
145	831	4865
146	836	4854
147	840	4841
148	845	4831
149	850	4819
150	855	4811
151	860	4798
152	864	4785
153	869	4775
154	873	4762
155	877	4749
156	882	4738
157	887	4729
158	891	4716
159	895	4703
160	900	4693
161	905	4684
162	910	4673
163	914	4662
164	919	4653
165	923	4640
166	927	4628
167	932	4620
168	937	4610
169	941	4599
170	946	4588
171	951	4578
172	955	4568
173	960	4557
174	964	4546
175	969	4537
176	973	4526
177	978	4516
178	982	4506
179	986	4495
180	991	4484
181	995	4474
182	1000	4465
183	1004	4454
184	1008	4443
185	1012	4432
186	1017	4425
187	1022	4414
188	1026	4404
189	1031	4397
190	1036	4390
191	1041	4384
192	1047	4379
193	1052	4370
194	1056	4360
195	1060	4350
196	1065	4344
197	1070	4334
198	1074	4324
199	1079	4316
200	1084	4312
201	1089	4304
202	1094	4295
203	1099	4288
204	1103	4278
205	1107	4269
206	1112	4262
207	1116	4253
208	1121	4242
209	1130	4252
210	1134	4243
211	1138	4233
212	1143	4225
213	1148	4217
214	1152	4208
215	1157	4199
216	1161	4192
217	1166	4184
218	1170	4174
219	1175	4166
220	1179	4159
221	1184	4150
222	1188	4141
223	1193	4134
224	1197	4125
225	1202	4117
226	1206	4108
227	1211	4101
228	1215	4093
229	1220	4084
230	1224	4077
231	1229	4069
232	1233	4061
233	1239	4055
234	1243	4048
235	1247	4040
236	1252	4031
237	1256	4024
238	1261	4018
239	1266	4010
240	1270	4001
241	1275	3995
242	1279	3987
243	1284	3978
244	1288	3971
245	1293	3965
246	1298	3957
247	1302	3949
248	1307	3942
249	1311	3934
250	1316	3927
251	1320	3919
252	1325	3912
253	1329	3904
254	1333	3897
255	1338	3891
256	1343	3883
257	1347	3875
258	1352	3868
259	1357	3863
260	1361	3855
261	1366	3847
262	1370	3841
263	1375	3834
264	1379	3826
265	1384	3819
266	1389	3813
267	1393	3806
268	1398	3799
269	1402	3791
270	1407	3784
271	1411	3777
272	1416	3770
273	1420	3764
274	1425	3757
275	1429	3750
276	1434	3743
277	1439	3737
278	1443	3730
279	1448	3723
280	1453	3718
281	1458	3712
282	1462	3705
283	1467	3699
284	1472	3694
285	1477	3689
286	1482	3682
287	1487	3678
288	1492	3671
289	1496	3664
290	1501	3659
291	1506	3652
292	1510	3645
293	1515	3638
294	1520	3633
295	1524	3625
296	1528	3618
297	1533	3613
298	1538	3606
299	1542	3600
300	1547	3593
301	1553	3591
302	1558	3586
303	1565	3584
304	1571	3581
305	1576	3576
306	1582	3571
307	1586	3565
308	1591	3559
309	1596	3553
310	1601	3548
311	1606	3542
312	1611	3537
313	1617	3533
314	1622	3528
315	1627	3521
316	1632	3516
317	1636	3510
318	1641	3503
319	1645	3496
320	1650	3492
321	1655	3485
322	1660	3479
323	1665	3474
324	1669	3468
325	1674	3461
326	1679	3456
327	1684	3451
328	1689	3445
329	1693	3439
330	1699	3434
331	1703	3428
332	1708	3421
333	1713	3416
334	1717	3410
335	1722	3403
